,1Engineering Workshop,1Engineering Chemistry Lab,1English Language and Communication Skills Lab,1Basic Electrical Engineering Lab,1Mathematics - 1,1Chemistry,1Basic Electrical Engineering,1English,1Applied Physics Lab,1Programming for Problem Solving Lab,1Mathematics - 2,1Applied Physics,1Programming for Problem Solving,1Engineering Graphics,2Data Structures Lab,2Python Programming Lab,2Business Economics and Financial Analysis,2Computer Organization and Architecture,2Data Structures,2Python Programming,2Discrete Mathematics,2Mathematical and Statistical Foundations,2Database management Systems Lab,2Java Programming Lab,2Operating Systems Lab,2Database Management Systems,2Operating Systems,2Object Oriented Programming Using Java,2Formal Language and Automata Theory,2Software Engineering,3Advanced Communication Skills Lab,3Computer Networks Lab,3Data Mining Lab,3Introduction to Data Science,3Devops,3Design and Analysis of Algorithms,3Data Mining,3Computer networks,3Computer Graphics,3Machine Learning Lab,3Big Data Analytics Lab,3Cryptography and Network security Lab,3Cryptography and Network Security,3Big Data Analytics,3Industrial Management,3Machine Learning,3Compiler Design,CGPA
46,5,7,10,9,10,7,7,7,10,9,8,10,10,5,5,8,5,9,7,10,5,10,6,5,6,7,5,6,8,7,10,5,7,9,10,9,7,8,8,10,8,8,9,6,8,9,9,7.76875
47,7,10,5,5,6,7,6,9,8,7,8,5,8,5,8,5,5,6,6,9,6,6,5,5,8,7,10,9,10,5,8,10,10,8,7,10,6,7,7,8,5,7,5,8,10,9,5,7.046875
48,8,10,8,9,9,7,5,6,6,7,6,9,7,8,6,5,5,5,9,6,9,6,10,10,6,9,5,7,8,6,9,8,7,5,9,6,7,8,5,10,7,5,9,10,8,6,7,7.30625
49,10,9,6,6,7,6,9,8,10,7,9,9,10,7,10,7,10,7,8,5,6,8,7,10,10,5,10,8,8,6,6,10,9,8,5,10,6,10,7,10,8,5,5,10,8,7,9,7.521875
50,8,9,9,6,9,10,5,5,10,8,7,5,6,6,6,7,7,5,10,7,10,9,10,6,7,7,10,10,9,9,5,5,9,10,8,6,10,7,9,10,8,10,5,6,5,8,9,7.603125
51,9,7,6,9,5,7,7,8,8,5,5,10,10,7,6,10,7,7,8,6,8,10,10,5,7,9,5,7,10,5,10,10,7,10,8,10,8,7,6,10,10,6,5,5,7,6,6,7.546875
52,10,8,8,5,6,6,9,7,9,8,8,6,9,9,9,8,8,9,6,8,9,9,7,8,10,8,10,8,9,8,10,8,5,6,7,8,10,7,8,6,5,5,5,6,7,9,7,7.853125
53,5,5,9,6,7,10,6,8,9,8,5,5,10,6,9,9,9,10,9,8,8,9,10,5,6,10,6,8,9,9,6,7,10,9,6,6,6,7,10,10,8,6,8,7,9,6,10,7.8125
54,6,9,5,7,6,7,6,7,7,8,7,5,8,6,8,7,9,5,8,7,8,5,5,6,5,6,9,8,10,10,5,10,9,9,10,7,5,9,9,8,10,10,6,9,6,8,9,7.45625
55,10,7,5,5,6,10,10,8,8,8,10,6,5,6,5,5,7,7,8,10,9,7,5,10,7,9,5,8,6,6,10,7,7,5,6,9,8,7,6,8,9,10,5,5,10,6,6,7.3
56,5,10,6,6,8,7,9,6,9,5,10,8,8,10,6,7,10,10,5,7,9,6,10,6,10,7,8,6,6,7,8,7,7,9,8,10,9,8,7,8,7,9,10,7,8,7,8,8.003125
57,7,7,10,6,9,7,10,10,6,8,6,7,5,5,10,10,8,9,8,7,7,10,7,9,7,6,6,9,10,6,6,10,7,7,10,6,7,8,5,7,9,5,6,10,6,7,10,7.571875
58,9,9,9,7,6,7,9,8,5,9,9,9,5,6,6,6,5,9,7,5,6,8,8,8,9,10,7,7,9,5,6,9,5,9,7,8,9,7,8,6,8,5,7,9,8,8,10,7.709375
59,10,9,6,8,8,8,10,7,8,6,10,5,6,6,5,10,9,7,10,6,10,7,9,6,6,7,10,7,8,5,8,5,9,9,7,9,6,5,5,6,5,7,8,9,5,9,6,7.46875
60,7,7,10,7,6,10,9,8,8,6,5,7,5,5,9,9,6,6,9,9,9,5,9,6,5,6,5,8,8,5,6,5,7,5,7,8,8,8,7,8,9,5,6,10,5,5,5,7.096875
61,5,5,5,5,7,6,9,6,10,5,9,6,8,10,9,9,5,5,9,7,6,10,9,8,9,5,7,9,10,8,6,9,7,9,5,9,6,10,7,9,7,8,10,10,6,9,6,7.446875
62,5,8,7,9,10,5,6,9,7,6,9,9,8,8,8,9,8,6,5,6,7,10,5,7,9,10,8,7,9,10,9,7,10,6,5,7,5,6,8,10,10,5,8,5,6,8,6,7.2625
63,9,9,9,6,10,6,6,9,6,7,6,10,10,9,10,7,7,8,10,7,9,10,9,10,5,10,6,6,8,9,6,5,5,5,8,7,10,7,7,8,8,6,7,6,5,5,8,7.71875
64,10,6,5,9,5,7,7,5,6,8,5,10,10,9,8,9,5,10,8,5,7,7,5,5,10,7,8,7,10,9,6,9,7,6,7,8,7,6,8,9,9,9,9,8,8,8,5,7.75
65,10,8,9,6,6,7,6,5,5,10,9,9,10,7,8,10,9,5,6,6,10,7,5,5,7,7,10,10,6,5,9,7,5,6,5,6,9,8,8,8,8,5,7,8,6,5,8,7.459375
66,7,5,9,5,10,8,8,5,8,8,9,7,9,6,10,9,8,9,10,8,7,6,6,9,8,8,9,9,10,9,8,5,8,10,7,9,10,8,5,8,10,8,6,10,7,5,5,7.71875
67,8,7,7,6,6,8,10,5,6,7,9,7,5,5,10,8,6,7,8,6,5,7,8,10,6,10,5,5,8,6,10,5,5,8,7,10,8,5,9,9,8,7,6,9,7,8,7,7.328125
68,8,6,5,6,6,10,6,6,9,8,8,9,8,6,7,9,6,9,9,6,9,9,7,10,6,7,10,9,6,6,8,6,10,5,7,7,9,8,9,8,8,8,10,6,10,10,8,7.725
69,8,10,9,6,7,9,7,5,10,10,5,8,10,8,10,5,5,8,5,10,10,10,5,7,9,6,8,8,5,7,8,5,9,5,7,6,7,7,6,5,7,5,10,5,6,10,7,7.303125
70,6,8,8,10,5,7,7,10,8,7,10,7,5,6,8,10,9,7,6,7,5,10,9,7,7,6,6,8,5,6,6,8,9,9,6,5,7,5,6,7,5,8,5,10,8,9,5,7.1375
71,5,7,5,6,9,10,9,10,10,10,9,7,6,8,8,9,10,6,7,8,6,10,6,5,10,7,7,7,7,7,9,8,7,10,7,9,6,10,7,6,8,7,6,7,5,5,7,7.40625
72,5,8,9,10,9,9,5,9,6,10,10,7,7,9,6,10,10,6,6,9,10,6,8,6,6,7,6,8,10,10,5,5,8,5,8,5,7,6,8,9,7,9,7,5,10,8,9,7.73125
73,10,10,7,8,7,9,8,6,8,5,9,6,9,5,8,8,9,9,9,6,8,9,10,9,7,10,8,7,5,6,5,7,5,7,6,5,10,10,7,5,7,6,7,8,6,9,6,7.5125
74,8,5,9,10,7,8,9,8,6,5,5,8,9,10,10,5,9,9,5,10,5,5,7,6,8,5,5,9,6,10,9,8,7,10,6,7,6,10,6,8,9,8,6,6,5,5,10,7.4875
75,9,6,6,6,7,10,8,5,5,7,9,10,8,8,10,10,8,9,9,5,9,10,10,9,10,10,5,9,8,7,10,10,6,10,6,10,7,7,9,8,5,10,6,7,9,7,10,7.94375
76,8,6,9,8,8,9,6,6,6,9,9,9,10,10,7,10,7,7,9,10,9,7,8,9,10,5,7,9,10,7,7,6,9,9,10,8,9,9,9,8,7,9,5,7,6,8,5,8.025
77,6,7,7,7,7,7,8,6,9,10,9,6,5,8,5,9,7,7,6,6,9,10,8,10,5,8,5,9,10,5,10,5,6,8,5,8,10,7,10,5,10,10,6,5,6,8,6,7.259375
78,6,5,9,6,9,5,8,6,8,7,6,9,6,7,8,9,10,5,7,8,5,6,5,10,8,5,7,10,10,6,7,7,9,8,8,10,5,9,7,7,6,7,9,5,6,5,7,7.140625
79,10,9,10,8,7,5,9,6,10,9,7,6,7,5,9,8,6,10,8,6,8,6,8,7,5,5,8,8,9,8,9,10,8,8,5,6,9,7,10,7,9,6,8,9,8,8,6,7.38125
80,5,8,7,9,8,5,10,8,6,6,6,8,10,8,8,8,5,5,9,5,10,6,10,7,5,8,9,5,9,5,7,6,5,5,5,8,7,5,6,7,7,10,9,8,6,10,9,7.378125
81,6,6,7,10,5,10,10,9,10,5,5,8,8,5,5,7,10,10,8,6,10,10,5,5,9,10,9,9,7,5,8,7,7,8,6,9,9,9,9,9,7,5,6,6,9,9,8,7.684375
82,9,9,7,7,6,5,10,7,10,9,9,7,10,9,9,10,9,9,10,6,8,5,10,5,9,6,6,6,10,6,7,9,5,7,10,8,10,6,9,8,5,10,7,9,9,5,5,7.71875
83,10,8,10,5,8,5,5,5,8,7,7,10,8,10,9,10,6,6,7,7,7,10,7,9,6,9,7,10,5,5,6,8,6,9,9,10,8,5,10,5,6,10,6,7,10,9,6,7.7625
84,6,7,5,8,6,6,10,10,9,8,5,5,5,6,10,8,6,8,9,7,6,9,9,9,8,7,9,9,7,9,8,9,5,6,9,10,5,9,5,7,7,8,10,9,6,9,10,7.453125
85,9,5,6,6,6,5,7,7,5,8,10,5,9,9,9,5,7,9,8,8,7,10,6,6,5,6,6,10,6,6,10,9,8,8,6,5,9,10,6,8,9,9,8,7,7,7,9,7.59375
86,7,9,7,9,9,6,9,10,8,9,6,10,7,7,6,7,5,10,5,6,9,8,7,9,7,10,5,5,10,6,8,10,7,10,7,8,9,9,6,6,8,8,10,8,8,7,9,7.915625
87,9,10,5,8,6,7,7,7,9,5,6,10,6,5,8,7,6,10,8,9,8,10,10,10,5,7,6,7,6,9,10,10,9,6,10,6,10,10,7,5,8,6,5,5,7,5,9,7.359375
88,5,7,10,10,7,10,9,9,7,5,9,6,6,9,5,8,6,10,5,5,10,7,10,6,10,6,10,7,8,9,6,10,6,6,8,6,6,6,9,8,6,6,10,6,7,8,9,7.446875
89,10,9,8,5,9,6,10,7,7,5,8,7,7,6,6,9,7,10,5,9,6,8,5,7,8,5,8,8,5,7,9,6,8,7,6,10,7,10,8,10,6,10,5,6,5,7,9,7.240625
90,7,10,10,9,5,5,9,9,5,10,7,6,5,6,10,6,5,8,9,6,7,5,6,7,5,6,9,7,7,9,10,5,6,8,8,6,10,7,7,6,6,9,8,9,7,5,10,7.16875
91,5,7,6,7,9,5,6,7,10,6,6,5,6,5,6,8,10,10,9,9,5,5,8,8,8,9,10,7,6,6,9,5,8,5,6,8,9,10,9,10,9,10,8,9,8,8,5,7.3125
92,9,7,9,8,7,7,10,9,8,7,6,10,8,10,5,6,5,8,9,5,6,8,8,5,6,10,5,7,8,6,10,6,7,10,8,8,5,7,8,6,8,9,5,7,7,9,8,7.615625
93,10,9,9,6,10,6,8,10,8,10,5,8,10,8,7,7,5,9,5,10,10,5,9,10,9,6,6,8,9,9,10,5,6,5,5,7,5,10,7,8,10,6,8,10,5,9,8,7.54375
94,8,9,7,10,5,5,8,10,9,6,10,9,10,6,5,8,8,10,10,6,7,7,8,8,7,9,9,9,10,7,5,8,5,9,7,6,7,9,6,8,5,7,10,10,6,5,10,7.85
95,6,8,6,7,9,6,9,9,8,6,5,5,10,6,7,9,6,5,8,8,6,9,10,5,5,7,5,7,8,5,5,10,6,6,6,10,7,5,8,7,7,7,10,5,7,5,5,6.996875
96,5,5,7,5,5,10,5,7,9,8,9,5,6,7,8,7,8,5,7,8,8,8,6,8,6,5,9,6,10,6,7,6,8,5,6,9,8,7,8,9,5,6,8,8,7,5,9,7.11875
97,8,9,9,7,6,7,9,9,7,6,5,8,5,5,5,5,7,9,10,9,6,9,5,10,7,10,7,7,7,9,7,5,5,6,5,5,9,10,8,8,6,8,8,10,8,6,9,7.29375
98,10,8,6,8,10,10,8,10,9,6,5,10,9,7,8,10,6,7,5,9,8,8,9,5,8,10,7,7,5,8,5,9,6,8,10,6,5,8,6,8,8,8,7,8,8,10,8,7.890625
99,10,6,6,8,8,5,5,8,10,7,5,6,6,7,7,5,9,8,7,10,7,5,5,6,10,8,9,8,10,8,8,7,5,7,7,6,8,10,7,8,9,7,5,10,5,10,9,7.384375
100,8,8,9,7,10,10,7,7,9,8,7,10,6,10,6,7,5,8,9,8,6,10,9,6,10,7,7,7,6,8,6,8,10,8,6,5,5,10,7,6,6,5,9,10,10,5,6,7.371875
101,10,6,10,9,9,10,10,10,5,9,9,8,6,7,5,6,8,5,10,10,6,7,5,10,7,8,7,5,7,10,9,6,7,5,5,5,10,5,5,5,8,7,8,8,9,9,10,7.484375
102,10,8,5,7,9,7,10,8,7,6,6,10,8,7,6,10,7,5,5,5,5,6,7,9,8,9,7,7,9,5,7,10,5,8,7,9,6,7,5,10,5,7,5,10,9,5,10,7.58125
103,7,7,9,5,5,9,7,10,5,8,8,7,7,7,10,10,7,5,6,5,6,5,5,9,10,7,7,9,5,7,6,6,5,9,5,10,10,10,8,5,6,7,10,6,10,8,7,7.24375
104,7,8,9,7,7,8,7,8,6,9,7,8,5,6,9,8,7,10,5,5,7,9,6,5,8,7,9,10,8,8,10,8,8,7,8,5,5,8,5,8,7,5,10,6,5,6,6,7.3
105,9,6,6,5,10,10,9,5,9,6,5,10,7,7,6,7,5,8,6,10,7,9,8,5,9,7,9,6,5,10,10,6,9,7,7,8,9,10,9,7,7,10,8,8,7,8,10,7.996875
106,9,7,6,6,7,6,9,5,5,8,6,6,5,8,10,9,5,10,7,7,6,6,10,7,7,9,7,5,10,5,6,7,7,5,8,8,10,10,7,6,10,5,8,6,6,10,7,7.346875
107,5,7,6,8,8,8,5,6,10,5,8,5,8,7,10,5,7,5,9,6,9,6,10,6,7,9,7,9,10,6,9,7,9,9,10,5,10,9,8,10,7,6,5,7,5,5,10,7.34375
108,7,7,9,7,10,10,5,8,10,5,5,6,5,8,10,9,10,5,10,6,9,10,7,5,10,6,5,8,7,5,9,9,10,8,10,9,9,6,8,5,6,9,6,7,8,6,7,7.446875
109,9,6,6,9,8,10,5,9,7,10,5,8,8,9,7,7,6,9,8,10,6,5,9,7,9,7,9,7,10,5,6,6,6,8,5,7,7,10,8,10,8,6,5,5,8,9,5,7.4375
110,10,8,8,9,6,10,5,10,7,6,8,8,6,6,6,7,6,5,10,5,10,10,5,9,5,8,10,5,9,5,8,5,10,9,10,9,5,8,10,6,10,10,8,7,5,10,10,7.709375
111,5,7,5,10,7,6,8,5,8,5,8,7,6,9,8,5,6,5,7,8,5,10,10,10,10,8,8,10,10,7,9,7,5,8,10,9,10,7,5,9,6,5,8,7,7,6,8,7.353125
112,8,7,8,10,5,9,5,5,8,7,9,8,5,7,8,8,7,7,6,9,9,8,6,7,7,6,8,6,7,7,7,5,5,9,6,9,5,9,9,7,5,10,6,5,6,9,7,7.184375
113,8,7,8,6,9,6,7,6,7,7,7,10,5,5,6,7,10,6,9,7,5,9,6,6,9,7,9,9,8,5,5,7,7,7,8,9,7,10,9,10,10,9,5,9,9,8,7,7.553125
114,6,6,5,10,8,7,5,10,10,9,9,7,10,9,8,6,10,7,6,8,8,8,6,9,8,8,8,10,5,9,10,10,7,8,8,7,7,6,5,9,5,9,8,9,5,5,10,7.5
115,6,9,10,8,7,8,7,5,7,10,7,10,9,10,9,7,5,8,7,10,9,9,6,7,5,10,7,7,8,5,9,7,5,7,8,6,10,8,8,6,6,10,9,9,8,7,6,7.790625
116,9,10,6,10,9,8,10,5,7,7,10,5,5,7,8,8,10,5,10,7,7,5,10,8,5,9,7,9,8,5,10,7,6,9,10,9,7,10,7,10,8,5,5,8,6,5,5,7.528125
117,7,7,9,8,7,9,9,8,5,7,7,5,10,5,8,8,10,5,5,8,5,8,8,9,7,9,7,7,10,5,5,8,9,9,5,9,7,7,6,5,9,6,10,9,7,9,8,7.66875
118,9,6,10,9,6,7,10,10,10,9,9,5,10,5,10,9,6,6,10,9,8,10,5,10,5,7,6,5,9,5,7,6,10,7,5,10,9,7,6,10,9,6,6,5,5,8,7,7.31875
119,5,10,5,7,7,5,10,7,5,6,7,6,8,7,10,5,9,5,8,9,6,5,9,9,7,5,10,6,8,5,5,9,6,9,7,10,9,8,8,8,5,10,7,8,6,9,7,7.240625
120,6,9,10,9,6,7,9,6,7,10,6,5,6,8,10,7,8,8,6,7,7,5,7,7,7,6,6,9,8,8,7,9,6,6,10,5,7,8,5,9,7,8,7,7,5,6,6,6.95625
121,9,7,7,6,6,6,7,8,5,8,9,9,9,5,6,10,7,6,5,7,10,5,10,5,6,10,5,7,5,7,8,5,7,9,7,7,9,8,10,10,6,7,8,5,5,6,8,7.265625
122,9,10,6,8,8,10,6,9,5,6,9,9,6,6,5,7,10,9,5,6,6,9,7,7,8,8,6,8,5,5,6,7,7,7,8,6,5,5,7,8,5,9,9,6,8,10,10,7.4125
123,7,7,5,5,5,9,6,7,9,6,5,7,9,8,10,8,8,9,10,10,9,10,5,7,9,9,5,9,6,6,10,7,8,10,7,6,9,9,8,10,9,7,10,6,9,10,5,7.784375
124,5,8,7,10,5,5,5,5,9,5,6,9,8,7,9,5,9,6,6,9,10,8,8,5,5,10,9,10,7,5,9,7,10,9,9,9,9,8,8,8,9,5,8,8,8,8,5,7.45
125,9,10,5,6,7,7,8,9,6,9,7,9,9,6,6,5,10,7,7,10,5,8,9,5,8,10,7,10,10,8,6,7,6,8,10,9,6,5,6,8,6,10,7,10,10,10,9,8.046875
126,5,10,7,6,10,7,6,9,9,8,5,7,7,10,7,8,9,7,10,9,6,9,6,9,8,6,9,8,7,5,6,8,8,8,7,8,6,6,8,9,5,6,9,8,6,8,10,7.765625
127,7,5,9,10,6,7,5,5,10,5,7,10,10,6,5,8,6,10,5,6,10,8,7,9,9,9,9,9,10,7,6,7,8,8,7,10,9,5,6,8,9,5,6,5,5,5,5,7.375
