No,1Engineering Workshop,1Engineering Chemistry Lab,1English Language and Communication Skills Lab,1Basic Electrical Engineering Lab,1Mathematics - 1,1Chemistry,1Basic Electrical Engineering,1English,1Applied Physics Lab,1Programming for Problem Solving Lab,1Mathematics - 2,1Applied Physics,1Programming for Problem Solving,1Engineering Graphics,2Data Structures Lab,2Python Programming Lab,2Business Economics and Financial Analysis,2Computer Organization and Architecture,2Data Structures,2Python Programming,2Discrete Mathematics,2Mathematical and Statistical Foundations,2Database management Systems Lab,2Java Programming Lab,2Operating Systems Lab,2Database Management Systems,2Operating Systems,2Object Oriented Programming Using Java,2Formal Language and Automata Theory,2Software Engineering,3Advanced Communication Skills Lab,3Computer Networks Lab,3Data Mining Lab,3Introduction to Data Science,3Devops,3Design and Analysis of Algorithms,3Data Mining,3Computer Networks,3Computer Graphics,3Machine Learning Lab,3Big Data Analytics Lab,3Cryptography and Network security Lab,3Cryptography and Network Security,3Big Data Analytics,3Industrial Management,3Machine Learning,3Compiler Design,4Predictive Analytics,4Web and Social Media Analytics,4Professional Elective - 4,4Professional Elective - 5,4Open Elective - 2,4Web and Social Media Analytics Lab,4Mini Project ,4Seminar,4Project Stage - 1,4Organizational Behaviour,4Professional Elective - 6,4Open Elective - 3,4Project Stage - 2,CGPA
22,O,O,B,A+,A,C,O,A,A+,A+,A+,B+,B+,A+,A+,B,C,B+,B+,B+,C,O,A+,C,B,A+,B+,C,C,C,A,A+,A+,C,A+,B+,B+,A+,O,B+,B+,O,C,A+,A,A,A+,C,A,O,O,A+,B,O,C,A,A+,B+,B,A,7.65
23,A,B,O,B,A+,A+,A+,O,A,A,A,B+,B,C,B,A+,O,A,C,O,B,C,A+,A,C,B,A,C,B,B,A+,O,C,B,B,B+,B+,C,A+,O,O,A+,O,A,A+,A+,B,O,O,A,A,C,A,B,C,B,B,C,B,O,7.4125
24,A+,O,B+,A,A+,A+,A,A,O,C,B+,B+,A+,A+,C,B+,B,A+,A+,B,A,O,B,A+,B+,A,B+,B,A,A,O,B,O,C,A,O,B,A+,A,O,B+,B,B+,C,B,A+,B+,C,A+,A+,A+,B+,A,B,B,B,C,B+,B,A,7.58125
25,B+,O,C,A,A+,A,C,A+,A,A,A+,B,O,O,B,O,O,A+,B+,A,B,B+,O,B,A,C,C,B+,A+,A,O,A+,A+,B+,C,C,B+,B,A+,B,A+,A,B+,B,A+,C,B+,B+,B+,B+,B+,B+,A,C,B,A+,A,B,B,A,7.38125
26,A+,A+,A,B,A+,A+,B,B,A+,A,C,A,O,B+,O,B,A,C,C,A+,B,B,A+,O,C,A,B+,O,C,A+,A+,A+,B,B,A,B,A,C,A,C,B+,C,B,B,A,B+,A+,A,O,O,C,B+,C,C,A+,C,A,A+,A,B+,7.3375
27,B,A+,B+,A+,B,A+,A+,A+,B,A+,O,A,C,B,B,B+,A+,B+,A,O,B+,C,B,C,A,B+,C,B,B,A,B,C,A,C,A,O,O,B,A,A+,B+,A,A+,C,B,B,B+,O,A+,C,B+,A+,C,A+,O,C,C,A,B,C,7.11875
28,C,A,B+,A+,B+,A,B,O,A,B+,O,A,B,O,B,B,A+,A+,C,A,B+,O,B,A+,B+,C,C,A+,A+,A+,A,B,A,B,O,B,A,A,B,A,B,A+,O,A+,B,C,A+,B+,A,O,C,C,A+,A,A,B,B,B,C,A,7.409375
29,C,B,C,A,A+,A,B+,C,C,B+,A+,A+,A,A,B,B,O,C,O,A,A+,A,B,A+,B,B,A+,A,O,B,B,C,A,C,A+,B,B,B+,A,A+,A,O,A+,A,O,B+,B+,A+,O,C,B,A+,A,B+,B+,O,A+,C,A+,A,7.671875
30,O,A+,B,O,B,C,A+,A,B,A,A,A+,B+,B,B+,A+,B+,A+,A,B+,A+,O,A+,C,O,B,O,B+,A,A,C,B+,B,A,C,B,B,C,B,O,A,B+,C,O,A,O,C,B,A+,B+,A+,B+,B+,B+,A,B,O,O,A+,O,7.684375
31,B+,B+,B,C,A+,A,B,A+,C,B+,O,C,O,A,B,O,C,A+,C,A,A,O,A,B+,A,B+,A,C,A+,O,C,A,A,B+,A,O,O,B+,A+,O,B,A,A,O,A,A+,C,B,O,A,B+,O,B,B+,A,O,B+,B+,B,B+,7.74375
32,A,A+,C,B+,A,O,O,C,B,A+,B+,A,A,A,C,C,B+,B,A,B+,A,A,O,C,O,O,C,A,B+,B,B+,A+,O,A,O,B+,A,C,B,B+,B,B+,A+,A,B,O,O,O,B+,O,O,A+,B+,O,A+,A,B+,A+,B+,A,7.95
33,C,O,O,O,B+,A+,B+,A,O,O,B,O,C,O,C,C,B+,A,O,B,C,A+,B+,O,O,B+,B+,B+,A,B,A+,A,A,A,C,A+,O,B,A+,C,C,B,C,C,B,A+,C,B,B+,A+,B+,A,B+,C,B+,B,C,B,B,C,7.10625
34,C,O,B+,A,B+,A+,A,A,A+,B+,B+,A+,A,C,A,C,B,A+,B+,C,B,A+,C,A,B,C,B+,A+,B+,A,O,B,A,A+,A,A+,A+,O,O,C,A,A,C,O,O,C,B,C,B+,B,A+,O,A+,C,A,B,A,B,B,O,7.54375
35,O,C,B,A+,B,C,B,O,A+,A,C,B+,A+,B,B,A,A,A+,C,B,C,A,B+,A+,A+,B,B,A,A,A+,O,C,A+,A+,C,B,A,A,A+,O,A,B+,B,C,C,C,B+,A+,O,A,C,A,C,A,O,O,O,B,O,O,7.3625
36,A+,O,A,A,O,O,A,O,B+,A+,A+,O,B,B+,B+,O,C,O,B+,B,O,B+,C,O,B+,B,A+,O,C,A,A,A,O,A+,A,O,A,O,B+,O,A+,O,C,B,A,C,B+,O,O,B+,B+,B,A,C,A+,A,B+,C,A,O,7.959375
37,A,O,A,B,B,A+,C,C,A+,B,O,A+,C,B+,A+,A,B+,B+,A+,B,B+,O,B,B,C,C,C,B+,A,O,C,C,A+,B,O,A+,A+,B,B,A,O,C,C,A+,B+,B,C,O,C,A+,C,A,A,B+,B+,B+,A,A+,B,O,7.415625
38,B,C,O,A,B+,A,B,O,A+,C,A,B,B,A,C,B,O,O,C,A+,A,B+,A,B+,A,B+,O,B,A+,B,B+,O,A,C,A,O,A+,B+,B,C,C,A+,O,O,A,O,O,C,C,C,B,B,A+,O,C,B+,O,B,A+,A,7.5625
39,B+,B,O,C,A,A+,B,C,O,A,C,A+,B,O,B+,B,B+,C,A+,C,A,B+,B+,A+,A,A+,A,B+,O,B,O,O,A,A,A,O,B,A+,A+,B,A,A,A+,C,A+,C,O,A+,A+,A+,A+,B+,A,B,O,O,A,A+,A+,A+,7.871875
40,O,A,B,C,C,B,B+,A+,C,B+,C,C,B,B,A+,B+,B+,B,B+,A,A,B+,B,A+,C,C,B,A+,A+,A+,C,A+,A,B,C,A+,O,O,A+,A+,B,B,A+,B+,B+,B,B,O,C,A+,C,A,A,B+,B+,C,C,A,A+,B,7.028125
41,C,B+,C,B+,C,O,A+,A+,B+,B+,C,B,O,B+,B,O,B,C,A,A,A,A+,B+,C,B+,O,A,O,C,A+,A,B,O,A+,A+,A+,C,O,A,O,A+,C,A,B+,A,B,C,O,B+,B,A+,C,A+,B+,A+,A,A+,A+,A+,A,7.665625
42,B+,A,A+,O,C,C,C,A+,B+,C,O,A,O,B+,B+,C,O,O,B,B,C,B,A,C,C,A+,A+,A+,A,C,A,B,B+,B+,B,C,B+,C,B,B,B+,A,O,O,B,B,B+,B+,C,A,B,A+,C,C,A,A,B+,A,B,B+,7.15
43,O,A,A+,A+,A+,A+,O,O,A,B,B,B+,A,A,A+,O,A+,C,A,O,C,A+,A+,A+,B+,A,A,O,B+,B,B,C,A,B+,A+,C,B,B+,A,B,B+,C,O,O,A,B,A,C,C,B,O,B+,O,A,B,O,O,A,O,A,7.878125
44,A,A,A+,A+,O,A+,C,A+,C,A,B+,O,B,A,O,A,B+,B+,A,B,O,B,B,B+,B+,A+,A,A,O,O,A,A,B+,A,B+,C,A,A,A,B,B,C,A,O,B+,C,B,A,C,B,O,B,A+,B+,C,C,A+,C,B+,C,7.434375
45,B,B,B+,B+,A,A,B,C,O,B,B+,B+,O,B,C,A,B,A,B,A,A,A+,A+,A+,B+,B,B+,A,B+,B,B,A,B,A+,O,O,C,B,B,O,A,B,A+,A,A,C,C,A,B+,B,B,C,A,O,B,B,A+,O,A+,O,7.409375
46,B+,O,A,A,B+,C,A,B+,C,A,B+,C,C,C,C,B,B,B+,B+,B,A+,B+,A+,A,B+,A,B+,B,O,B+,B+,B+,C,O,A+,A,A+,C,B,O,O,A,B,A,C,A+,C,A+,A+,C,A+,A,B+,A+,B+,B+,B,B+,C,O,7.209375
47,C,B+,O,A+,O,B+,B+,B+,O,A+,A,O,O,C,C,A,C,A+,B+,O,C,O,B,C,B,B+,C,B,A,B+,O,C,B+,A+,O,A+,B+,A,A,O,A,A,A+,B,A,A+,A+,C,A,A+,C,A,O,B,O,A,O,O,B+,A,7.76875
48,B+,O,C,C,B,B+,B,A+,A,B+,A,C,A,C,A,C,C,B,B,A+,B,B,C,C,A,B+,O,A+,O,C,A,O,O,A,B+,O,B,B+,B+,A,C,B+,C,A,O,A+,C,A,B+,C,C,B,B+,B,A,B,B+,A,A,B+,7.046875
49,A,O,A,A+,A+,B+,C,B,B,B+,B,A+,B+,A,B,C,C,C,A+,B,A+,B,O,O,B,A+,C,B+,A,B,A+,A,B+,C,A+,B,B+,A,C,O,B+,C,A+,O,A,B,B+,O,B+,B,B,C,A,A+,B,A,B,B,B,O,7.30625
50,O,A+,B,B,B+,B,A+,A,O,B+,A+,A+,O,B+,O,B+,O,B+,A,C,B,A,B+,O,O,C,O,A,A,B,B,O,A+,A,C,O,B,O,B+,O,A,C,C,O,A,B+,A+,C,A+,B+,C,B,O,B,C,C,B,B+,C,B+,7.521875
51,A,A+,A+,B,A+,O,C,C,O,A,B+,C,B,B,B,B+,B+,C,O,B+,O,A+,O,B,B+,B+,O,O,A+,A+,C,C,A+,O,A,B,O,B+,A+,O,A,O,C,B,C,A,A+,B+,A,C,A+,A+,B+,B+,O,B+,C,C,B+,A,7.603125
52,A+,B+,B,A+,C,B+,B+,A,A,C,C,O,O,B+,B,O,B+,B+,A,B,A,O,O,C,B+,A+,C,B+,O,C,O,O,B+,O,A,O,A,B+,B,O,O,B,C,C,B+,B,B,B,O,A,B,A,B+,O,B+,A,O,A+,B,A,7.546875
53,O,A,A,C,B,B,A+,B+,A+,A,A,B,A+,A+,A+,A,A,A+,B,A,A+,A+,B+,A,O,A,O,A,A+,A,O,A,C,B,B+,A,O,B+,A,B,C,C,C,B,B+,A+,B+,O,O,O,B+,A,C,B+,C,A+,B,O,A,A+,7.853125
54,C,C,A+,B,B+,O,B,A,A+,A,C,C,O,B,A+,A+,A+,O,A+,A,A,A+,O,C,B,O,B,A,A+,A+,B,B+,O,A+,B,B,B,B+,O,O,A,B,A,B+,A+,B,O,A,A,B+,A+,C,B+,O,O,C,A,O,B,A+,7.8125
55,B,A+,C,B+,B,B+,B,B+,B+,A,B+,C,A,B,A,B+,A+,C,A,B+,A,C,C,B,C,B,A+,A,O,O,C,O,A+,A+,O,B+,C,A+,A+,A,O,O,B,A+,B,A,A+,C,B+,O,B+,O,B+,O,A+,B,A+,C,C,A,7.45625
56,O,B+,C,C,B,O,O,A,A,A,O,B,C,B,C,C,B+,B+,A,O,A+,B+,C,O,B+,A+,C,A,B,B,O,B+,B+,C,B,A+,A,B+,B,A,A+,O,C,C,O,B,B,A+,B+,A,O,O,B+,O,C,C,B+,B+,A,B,7.3
57,C,O,B,B,A,B+,A+,B,A+,C,O,A,A,O,B,B+,O,O,C,B+,A+,B,O,B,O,B+,A,B,B,B+,A,B+,B+,A+,A,O,A+,A,B+,A,B+,A+,O,B+,A,B+,A,A+,B+,A+,O,A,O,A,A,O,O,A+,O,B+,8.003125
58,B+,B+,O,B,A+,B+,O,O,B,A,B,B+,C,C,O,O,A,A+,A,B+,B+,O,B+,A+,B+,B,B,A+,O,B,B,O,B+,B+,O,B,B+,A,C,B+,A+,C,B,O,B,B+,O,B,A,O,A,A+,A,B+,C,B,C,O,A,B+,7.571875
59,A+,A+,A+,B+,B,B+,A+,A,C,A+,A+,A+,C,B,B,B,C,A+,B+,C,B,A,A,A,A+,O,B+,B+,A+,C,B,A+,C,A+,B+,A,A+,B+,A,B,A,C,B+,A+,A,A,O,A,O,C,O,A,O,C,A+,A+,A,A,B+,A+,7.709375
60,O,A+,B,A,A,A,O,B+,A,B,O,C,B,B,C,O,A+,B+,O,B,O,B+,A+,B,B,B+,O,B+,A,C,A,C,A+,A+,B+,A+,B,C,C,B,C,B+,A,A+,C,A+,B,B,O,A,C,B+,B+,A,A+,O,B+,C,C,A+,7.46875
61,B+,B+,O,B+,B,O,A+,A,A,B,C,B+,C,C,A+,A+,B,B,A+,A+,A+,C,A+,B,C,B,C,A,A,C,B,C,B+,C,B+,A,A,A,B+,A,A+,C,B,O,C,C,C,A,B+,A+,C,B+,A,A,A,O,B+,A,O,B+,7.096875
62,C,C,C,C,B+,B,A+,B,O,C,A+,B,A,O,A+,A+,C,C,A+,B+,B,O,A+,A,A+,C,B+,A+,O,A,B,A+,B+,A+,C,A+,B,O,B+,A+,B+,A,O,O,B,A+,B,B,C,B+,A+,B+,B,C,B+,C,O,A+,O,C,7.446875
63,C,A,B+,A+,O,C,B,A+,B+,B,A+,A+,A,A,A,A+,A,B,C,B,B+,O,C,B+,A+,O,A,B+,A+,O,A+,B+,O,B,C,B+,C,B,A,O,O,C,A,C,B,A,B,B+,A,B,C,A+,O,O,A+,A,B+,B,B,C,7.2625
64,A+,A+,A+,B,O,B,B,A+,B,B+,B,O,O,A+,O,B+,B+,A,O,B+,A+,O,A+,O,C,O,B,B,A,A+,B,C,C,C,A,B+,O,B+,B+,A,A,B,B+,B,C,C,A,A,C,B+,A,O,B,A,A+,A+,B,C,O,A+,7.71875
65,O,B,C,A+,C,B+,B+,C,B,A,C,O,O,A+,A,A+,C,O,A,C,B+,B+,C,C,O,B+,A,B+,O,A+,B,A+,B+,B,B+,A,B+,B,A,A+,A+,A+,A+,A,A,A,C,A,B+,O,O,B+,B,A+,A+,A,A+,O,O,A,7.75
66,O,A,A+,B,B,B+,B,C,C,O,A+,A+,O,B+,A,O,A+,C,B,B,O,B+,C,C,B+,B+,O,O,B,C,A+,B+,C,B,C,B,A+,A,A,A,A,C,B+,A,B,C,A,B,C,O,C,B,O,B,B,A,B+,O,A+,O,7.459375
67,B+,C,A+,C,O,A,A,C,A,A,A+,B+,A+,B,O,A+,A,A+,O,A,B+,B,B,A+,A,A,A+,A+,O,A+,A,C,A,O,B+,A+,O,A,C,A,O,A,B,O,B+,C,C,C,A+,C,A+,C,B,C,B+,B,C,A,O,A+,7.71875
68,A,B+,B+,B,B,A,O,C,B,B+,A+,B+,C,C,O,A,B,B+,A,B,C,B+,A,O,B,O,C,C,A,B,O,C,C,A,B+,O,A,C,A+,A+,A,B+,B,A+,B+,A,B+,B,B,C,A+,A,A,C,B+,A+,B,A,A+,O,7.328125
69,A,B,C,B,B,O,B,B,A+,A,A,A+,A,B,B+,A+,B,A+,A+,B,A+,A+,B+,O,B,B+,O,A+,B,B,A,B,O,C,B+,B+,A+,A,A+,A,A,A,O,B,O,O,A,C,C,C,A+,A+,A+,O,A,A,C,O,A,B+,7.725
70,A,O,A+,B,B+,A+,B+,C,O,O,C,A,O,A,O,C,C,A,C,O,O,O,C,B+,A+,B,A,A,C,B+,A,C,A+,C,B+,B,B+,B+,B,C,B+,C,O,C,B,O,B+,A+,B,A+,A,A,B+,A,O,B+,A,B,B,B,7.303125
71,B,A,A,O,C,B+,B+,O,A,B+,O,B+,C,B,A,O,A+,B+,B,B+,C,O,A+,B+,B+,B,B,A,C,B,B,A,A+,A+,B,C,B+,C,B,B+,C,A,C,O,A,A+,C,B+,A,A+,A,O,C,O,A+,B,C,C,B+,A,7.1375
72,C,B+,C,B,A+,O,A+,O,O,O,A+,B+,B,A,A,A+,O,B,B+,A,B,O,B,C,O,B+,B+,B+,B+,B+,A+,A,B+,O,B+,A+,B,O,B+,B,A,B+,B,B+,C,C,B+,A+,C,B,A+,A,B+,C,A+,B,O,C,A+,C,7.40625
73,C,A,A+,O,A+,A+,C,A+,B,O,O,B+,B+,A+,B,O,O,B,B,A+,O,B,A,B,B,B+,B,A,O,O,C,C,A,C,A,C,B+,B,A,A+,B+,A+,B+,C,O,A,A+,O,A,O,A,B,A,O,O,C,B,A,B,O,7.73125
74,O,O,B+,A,B+,A+,A,B,A,C,A+,B,A+,C,A,A,A+,A+,A+,B,A,A+,O,A+,B+,O,A,B+,C,B,C,B+,C,B+,B,C,O,O,B+,C,B+,B,B+,A,B,A+,B,A,B+,A,A,A+,A+,B,C,B,O,A+,B,C,7.5125
75,A,C,A+,O,B+,A,A+,A,B,C,C,A,A+,O,O,C,A+,A+,C,O,C,C,B+,B,A,C,C,A+,B,O,A+,A,B+,O,B,B+,B,O,B,A,A+,A,B,B,C,C,O,O,B,A,B+,A+,C,A+,B+,A,A+,B+,A,A+,7.4875
76,A+,B,B,B,B+,O,A,C,C,B+,A+,O,A,A,O,O,A,A+,A+,C,A+,O,O,A+,O,O,C,A+,A,B+,O,O,B,O,B,O,B+,B+,A+,A,C,O,B,B+,A+,B+,O,C,A,A+,B,B+,B+,B+,A+,C,A,B+,C,A+,7.94375
77,A,B,A+,A,A,A+,B,B,B,A+,A+,A+,O,O,B+,O,B+,B+,A+,O,A+,B+,A,A+,O,C,B+,A+,O,B+,B+,B,A+,A+,O,A,A+,A+,A+,A,B+,A+,C,B+,B,A,C,A+,B+,C,O,O,B,B+,A+,O,O,A+,O,B,8.025
78,B,B+,B+,B+,B+,B+,A,B,A+,O,A+,B,C,A,C,A+,B+,B+,B,B,A+,O,A,O,C,A,C,A+,O,C,O,C,B,A,C,A,O,B+,O,C,O,O,B,C,B,A,B,B,B+,O,O,C,B,A+,C,B+,A+,B,B,B+,7.259375
79,B,C,A+,B,A+,C,A,B,A,B+,B,A+,B,B+,A,A+,O,C,B+,A,C,B,C,O,A,C,B+,O,O,B,B+,B+,A+,A,A,O,C,A+,B+,B+,B,B+,A+,C,B,C,B+,B,C,A+,O,A+,C,C,A,A,O,C,C,B+,7.140625
80,O,A+,O,A,B+,C,A+,B,O,A+,B+,B,B+,C,A+,A,B,O,A,B,A,B,A,B+,C,C,A,A,A+,A,A+,O,A,A,C,B,A+,B+,O,B+,A+,B,A,A+,A,A,B,B,A,A+,O,O,C,B+,B+,B,A,C,B+,C,7.38125
81,C,A,B+,A+,A,C,O,A,B,B,B,A,O,A,A,A,C,C,A+,C,O,B,O,B+,C,A,A+,C,A+,C,B+,B,C,C,C,A,B+,C,B,B+,B+,O,A+,A,B,O,A+,A+,O,B,C,C,A,B,A+,A+,B,B+,O,O,7.378125
82,B,B,B+,O,C,O,O,A+,O,C,C,A,A,C,C,B+,O,O,A,B,O,O,C,C,A+,O,A+,A+,B+,C,A,B+,B+,A,B,A+,A+,A+,A+,A+,B+,C,B,B,A+,A+,A,C,C,B,B,B+,B+,A+,O,B,O,B,B+,A+,7.684375
83,A+,A+,B+,B+,B,C,O,B+,O,A+,A+,B+,O,A+,A+,O,A+,A+,O,B,A,C,O,C,A+,B,B,B,O,B,B+,A+,C,B+,O,A,O,B,A+,A,C,O,B+,A+,A+,C,C,B,B,O,B+,C,C,O,B,O,A+,A+,B,A,7.71875
84,O,A,O,C,A,C,C,C,A,B+,B+,O,A,O,A+,O,B,B,B+,B+,B+,O,B+,A+,B,A+,B+,O,C,C,B,A,B,A+,A+,O,A,C,O,C,B,O,B,B+,O,A+,B,B,B,A+,A+,A+,B+,C,A,A,B,A+,O,O,7.7625
85,B,B+,C,A,B,B,O,O,A+,A,C,C,C,B,O,A,B,A,A+,B+,B,A+,A+,A+,A,B+,A+,A+,B+,A+,A,A+,C,B,A+,O,C,A+,C,B+,B+,A,O,A+,B,A+,O,A,A,C,O,B+,B+,C,B+,A,A+,B,A,B,7.453125
86,A+,C,B,B,B,C,B+,B+,C,A,O,C,A+,A+,A+,C,B+,A+,A,A,B+,O,B,B,C,B,B,O,B,B,O,A+,A,A,B,C,A+,O,B,A,A+,A+,A,B+,B+,B+,A+,C,A+,O,B,A,B+,A,B+,O,O,O,O,B+,7.59375
